age_bracket_name,personal_loan,education,securities_account,cd_account,online
Baby boomers,0,3,0,0,0
Generation X,0,3,0,0,0
Millennials,0,1,0,0,1
Baby boomers,1,3,0,0,1
Millennials,0,1,1,1,1
Millennials,0,1,0,0,1
Generation X,0,2,0,0,1
Generation X,0,3,0,0,0
Millennials,0,2,0,0,0
Millennials,0,3,0,0,1
Generation X,0,1,1,1,1
Millennials,1,2,0,0,0
Generation X,0,1,0,0,1
Millennials,0,1,0,0,1
Millennials,0,2,0,0,1
Generation Z,0,3,0,0,0
Generation X,0,2,0,0,1
Generation X,0,3,0,0,1
Millennials,0,1,0,0,1
Generation X,0,2,0,0,0
Generation X,0,3,0,0,1
Generation X,0,1,0,0,0
Millennials,0,1,0,0,0
Baby boomers,0,1,0,0,1
Generation X,0,3,0,0,1
Millennials,0,1,0,1,1
Millennials,0,2,0,0,1
Generation X,0,3,0,0,0
Millennials,0,1,0,0,1
Baby boomers,0,2,1,1,1
Generation Z,1,2,0,0,1
Millennials,0,2,0,0,1
Generation X,0,1,0,0,1
Generation X,0,2,0,0,1
Generation Z,0,1,0,0,1
Generation X,0,3,0,0,0
Millennials,0,2,0,0,1
Baby boomers,0,3,0,0,1
Generation X,0,3,0,0,1
Millennials,0,1,0,0,0
Generation X,1,2,0,0,1
Generation X,0,1,0,0,1
Millennials,0,2,0,0,1
Generation X,0,3,0,0,1
Generation X,0,3,0,0,1
Generation X,0,1,0,0,1
Baby boomers,0,1,0,0,0
Baby boomers,0,1,0,0,0
Generation Z,0,3,0,0,1
Baby boomers,1,2,0,0,1
Millennials,0,1,0,0,1
Millennials,0,3,0,1,1
Millennials,0,1,0,0,0
Millennials,0,1,0,0,0
Millennials,0,2,0,0,0
Millennials,0,1,0,0,1
Baby boomers,0,3,1,0,0
Generation X,0,3,0,0,1
Millennials,0,3,0,0,1
Millennials,1,3,0,0,0
Baby boomers,0,1,0,0,1
Baby boomers,0,2,0,0,0
Generation X,0,1,0,0,1
Generation X,0,1,0,0,0
Baby boomers,0,1,0,1,1
Millennials,0,2,1,0,1
Baby boomers,0,3,0,0,0
Millennials,1,2,0,0,1
Generation X,0,1,0,0,1
Generation X,0,1,0,0,1
Millennials,0,1,1,1,1
Millennials,0,1,0,0,1
Generation X,0,1,0,0,1
Generation X,0,1,0,0,1
Millennials,0,1,0,0,0
Baby boomers,0,3,0,0,1
Generation X,0,1,0,0,1
Generation X,0,2,1,0,1
Generation X,0,2,0,0,1
Generation Z,0,2,1,0,0
Baby boomers,0,1,0,0,1
Generation X,0,3,0,0,1
Millennials,0,1,0,0,0
Baby boomers,0,3,0,0,1
Millennials,0,1,0,0,1
Millennials,0,2,0,0,1
Millennials,0,3,0,0,1
Generation X,0,1,0,0,1
Millennials,0,1,0,0,0
Millennials,0,1,0,0,0
Millennials,0,1,0,0,1
Millennials,0,1,0,0,0
Generation Z,0,1,1,0,0
Generation X,0,1,0,0,0
Generation X,0,1,0,0,1
Millennials,0,1,0,0,0
Baby boomers,0,2,0,0,1
Millennials,0,1,0,0,0
Generation X,0,1,0,0,1
Generation X,0,2,0,0,1
Baby boomers,0,1,0,0,0
Generation Z,0,3,0,0,0
Generation X,0,3,0,0,1
Millennials,0,1,0,0,1
Millennials,1,2,0,0,1
Baby boomers,1,3,0,0,0
Generation X,0,2,0,0,1
Generation Z,0,1,1,0,0
Millennials,0,1,0,0,0
Generation X,0,1,0,0,0
Millennials,0,1,0,0,1
Millennials,0,1,0,0,1
Baby boomers,0,3,0,0,1
Millennials,0,3,1,0,1
Millennials,0,1,0,0,0
Baby boomers,0,1,0,0,0
Millennials,0,1,0,0,1
Generation X,0,3,0,0,1
Millennials,1,3,1,0,0
Generation X,0,2,0,0,1
Millennials,0,1,1,0,0
Millennials,0,3,0,0,1
Generation X,0,2,0,0,0
Millennials,0,1,0,0,1
Baby boomers,0,1,0,0,1
Millennials,1,2,0,0,0
Generation X,0,1,0,0,0
Generation Z,0,2,0,0,0
Millennials,0,1,0,0,0
Generation X,0,2,0,0,0
Generation X,0,3,0,0,0
Millennials,0,2,1,0,0
Generation X,0,1,0,0,1
Generation X,0,3,0,0,1
Millennials,0,2,1,1,1
Generation X,0,3,0,0,1
Millennials,0,3,0,0,1
Millennials,0,1,1,0,1
Generation X,0,3,0,0,1
Baby boomers,0,2,0,0,0
Millennials,1,2,0,0,0
Generation X,0,3,0,0,0
Millennials,0,1,0,0,1
Baby boomers,0,2,0,0,0
Baby boomers,0,1,0,0,1
Millennials,0,2,0,0,1
Baby boomers,1,3,0,0,0
Generation X,0,1,0,0,0
Generation X,0,1,1,0,0
Generation X,0,2,0,0,0
Millennials,0,3,0,0,0
Generation X,0,2,0,0,1
Generation Z,0,3,0,0,0
Millennials,0,1,0,0,0
Generation X,0,3,0,0,1
Generation X,0,3,0,0,1
Generation Z,0,1,0,0,1
Millennials,0,2,0,0,1
Millennials,0,1,0,0,0
Millennials,0,1,0,0,0
Generation X,0,2,0,0,0
Generation X,0,2,1,0,0
Millennials,0,3,0,0,0
Millennials,0,2,0,0,1
Millennials,0,3,0,0,1
Millennials,0,3,0,0,1
Baby boomers,0,2,0,1,1
Generation Z,0,1,1,0,1
Generation X,0,2,0,0,1
Generation Z,0,2,0,0,1
Millennials,1,3,0,0,1
Baby boomers,0,2,0,0,1
Baby boomers,0,1,0,0,1
Millennials,0,2,0,0,1
Millennials,0,1,0,0,1
Millennials,0,1,0,0,0
Generation X,0,1,0,1,1
Generation X,0,3,0,0,0
Generation X,0,1,0,0,1
Baby boomers,0,1,0,0,1
Generation X,0,1,1,1,1
Millennials,0,2,0,0,1
Generation X,0,3,0,0,0
Millennials,0,3,0,0,1
Generation X,0,3,0,0,0
Baby boomers,0,3,0,0,1
Millennials,0,1,0,0,1
Generation Z,0,2,0,0,0
Millennials,0,1,0,0,1
Millennials,0,1,0,0,1
Generation X,0,3,0,0,0
Millennials,0,3,0,0,0
Generation X,0,3,0,0,1
Millennials,0,2,0,0,0
Millennials,0,1,0,0,1
Generation X,0,1,0,0,0
Millennials,0,1,0,0,1
Baby boomers,0,2,1,0,1
Baby boomers,1,3,0,0,0
Millennials,0,3,1,1,1
Millennials,0,1,0,0,1
Millennials,0,2,0,0,1
Millennials,0,3,1,0,1
Baby boomers,0,1,0,0,1
Millennials,0,3,0,0,1
Generation X,0,1,0,0,1
Baby boomers,0,1,0,0,0
Generation X,0,1,0,0,1
Millennials,0,2,0,0,0
Generation X,0,1,0,0,0
Generation X,0,1,0,0,1
Generation Z,0,2,0,0,1
Millennials,0,3,0,0,1
Baby boomers,0,1,0,0,1
Generation X,0,3,1,0,0
Millennials,0,1,0,0,0
Generation X,0,1,0,0,0
Millennials,0,1,0,0,1
Generation X,0,2,0,0,1
Millennials,0,2,0,0,1
Baby boomers,1,2,0,0,0
Generation X,0,3,0,0,1
Millennials,1,3,0,0,1
Generation Z,0,2,0,0,1
Millennials,1,3,0,0,1
Millennials,1,2,0,1,1
Millennials,0,2,0,0,1
Millennials,0,3,0,0,1
Millennials,0,1,0,0,1
Baby boomers,0,1,1,0,0
Generation X,0,3,0,0,0
Millennials,0,1,0,0,0
Baby boomers,0,2,0,0,0
Baby boomers,0,2,0,0,1
Millennials,0,2,0,0,1
Baby boomers,0,2,0,0,0
Generation X,1,1,0,0,1
Baby boomers,0,1,0,0,0
Generation X,0,1,0,0,1
Millennials,0,3,0,0,0
Generation X,0,3,0,0,1
Generation X,0,3,0,0,0
Millennials,0,1,0,0,1
Millennials,0,3,0,0,1
Millennials,0,3,0,0,1
Millennials,0,1,0,0,1
Millennials,0,2,0,0,1
Baby boomers,0,1,0,0,0
Millennials,0,3,0,0,1
Millennials,0,1,0,0,1
Baby boomers,0,2,0,0,1
Generation X,0,3,0,0,0
Generation X,0,2,0,0,1
Baby boomers,0,2,0,0,1
Generation X,0,2,1,1,1
Generation X,0,2,0,0,1
Generation X,0,2,0,0,1
Baby boomers,0,1,1,1,1
Generation Z,0,1,0,0,1
Millennials,1,3,0,0,1
Millennials,0,1,0,0,0
Baby boomers,0,3,0,0,1
Millennials,1,3,0,1,1
Baby boomers,0,3,0,0,1
Baby boomers,1,3,0,1,0
Generation X,0,2,1,0,1
Generation X,0,1,0,0,1
Baby boomers,0,1,0,0,0
Generation X,1,2,0,0,0
Millennials,0,3,0,0,1
Millennials,0,1,0,0,1
Generation X,0,3,0,0,1
Generation X,0,3,0,0,0
Baby boomers,0,2,0,0,0
Millennials,0,1,0,0,0
Generation X,0,3,0,0,0
Baby boomers,1,3,0,1,1
Baby boomers,0,2,0,0,0
Baby boomers,0,1,0,0,1
Generation X,0,2,0,0,1
Baby boomers,0,2,0,0,0
Generation X,0,1,1,0,1
Generation X,0,3,0,0,1
Millennials,0,2,0,0,0
Baby boomers,1,3,0,1,1
Millennials,0,1,0,0,1
Generation X,0,3,0,0,0
Generation X,0,2,0,0,1
Millennials,0,1,0,0,1
Baby boomers,0,3,0,0,0
Generation X,0,1,0,0,1
Generation Z,0,1,0,0,0
Generation X,1,1,0,0,1
Generation Z,0,3,0,0,1
Baby boomers,0,1,0,0,0
Baby boomers,0,2,0,0,1
Generation X,1,3,0,0,0
Millennials,0,1,0,0,0
Millennials,0,3,0,0,1
Generation X,1,1,0,0,0
Millennials,0,1,0,0,1
Generation X,0,3,0,0,0
Millennials,1,1,0,0,0
Generation X,0,3,0,0,1
Generation X,0,1,0,0,0
Millennials,0,1,1,0,1
Generation X,0,2,0,0,0
Millennials,0,3,0,0,1
Baby boomers,0,1,0,0,0
Generation X,0,3,0,0,1
Millennials,0,2,0,0,1
Millennials,1,3,0,1,1
Generation X,0,3,0,0,1
Generation X,0,1,0,0,1
Millennials,0,1,0,0,1
Generation X,0,2,0,0,0
Generation X,0,1,1,1,1
Millennials,0,1,0,0,1
Generation X,0,1,0,0,1
Millennials,0,2,1,0,0
Generation X,0,2,0,0,1
Generation Z,0,3,0,0,1
Generation X,0,1,0,0,1
Millennials,0,3,1,0,1
Generation X,0,3,0,0,0
Generation X,0,2,0,0,0
Generation X,0,1,0,0,1
Generation X,0,1,0,0,1
Baby boomers,0,1,0,0,0
Millennials,0,3,0,0,1
Generation X,0,1,0,0,0
Generation X,0,3,0,0,0
Millennials,0,3,0,0,0
Generation X,0,3,0,0,1
Millennials,0,1,0,0,1
Millennials,0,3,0,0,1
Millennials,0,1,0,0,1
Generation X,0,3,0,0,0
Generation X,0,3,0,0,1
Baby boomers,0,3,0,0,1
Generation X,0,2,0,0,1
Baby boomers,0,2,0,0,1
Generation X,0,1,0,0,0
Generation X,0,1,1,0,0
Millennials,0,2,0,0,0
Millennials,0,3,0,0,1
Generation X,0,1,0,0,0
Baby boomers,0,3,0,0,1
Millennials,0,1,0,0,1
Generation X,0,3,0,0,0
Generation Z,0,2,1,0,1
Millennials,0,2,0,0,0
Baby boomers,0,1,0,0,1
Millennials,0,2,0,0,0
Baby boomers,1,3,0,0,0
Millennials,0,2,0,0,0
Generation X,0,1,0,0,0
Millennials,0,2,0,0,1
Generation X,0,1,1,0,0
Generation X,1,3,0,0,0
Millennials,0,3,0,0,0
Millennials,0,3,0,0,1
Millennials,0,3,1,0,1
Millennials,0,1,0,0,1
Millennials,0,1,0,0,1
Generation X,1,2,0,0,1
Generation X,0,3,1,0,1
Millennials,0,1,0,0,1
Millennials,0,1,0,0,0
Baby boomers,0,1,0,0,0
Baby boomers,0,2,0,0,1
Millennials,0,2,0,0,1
Generation X,0,2,0,0,1
Millennials,0,1,0,0,1
Generation X,0,3,0,0,0
Millennials,0,1,0,0,0
Millennials,0,1,0,0,1
Generation X,0,2,0,0,0
Generation X,0,1,0,0,0
Baby boomers,0,1,1,0,0
Millennials,0,3,0,0,1
Baby boomers,0,1,0,0,0
Generation X,0,1,0,0,0
Millennials,0,2,0,0,1
Millennials,0,2,0,0,1
Generation X,0,3,0,0,0
Generation X,0,2,0,0,1
Generation Z,0,1,0,0,1
Millennials,0,3,1,0,0
Millennials,0,1,0,0,1
Millennials,0,3,0,0,1
Generation X,0,3,0,0,0
Generation X,0,2,0,0,0
Generation X,0,1,0,0,0
Generation X,0,1,0,0,1
Generation X,1,3,0,0,0
Baby boomers,0,2,0,0,1
Generation X,0,2,0,0,0
Generation X,0,2,0,0,1
Generation X,0,3,0,0,0
Millennials,0,1,0,0,1
Generation X,0,2,0,0,1
Generation X,0,2,0,0,0
Baby boomers,0,1,0,0,1
Millennials,0,1,0,0,0
Millennials,0,2,0,0,0
Generation X,0,1,0,0,1
Generation X,0,3,0,0,1
Millennials,0,2,0,0,1
Generation X,0,1,1,1,1
Millennials,0,3,0,0,0
Baby boomers,0,2,0,0,0
Generation X,0,3,0,0,0
Generation X,0,3,0,0,0
Generation X,0,1,0,0,1
Generation X,0,1,0,0,1
Generation X,0,2,0,0,0
Generation X,0,3,0,0,1
Baby boomers,1,2,1,1,1
Generation X,0,3,0,0,1
Millennials,0,3,0,0,1
Generation X,0,2,0,0,1
Generation X,1,1,0,1,1
Generation X,0,3,0,0,1
Generation X,0,1,0,0,1
Generation X,1,3,0,0,1
Generation X,0,3,0,0,1
Millennials,0,1,0,0,0
Millennials,0,3,0,0,1
Baby boomers,0,1,0,0,1
Generation X,0,3,0,0,1
Millennials,0,2,0,0,1
Millennials,0,2,0,0,0
Baby boomers,0,1,0,0,1
Generation X,1,2,0,0,1
Millennials,0,3,0,0,0
Baby boomers,1,3,0,0,0
Baby boomers,0,3,0,0,0
Generation X,1,2,0,0,0
Baby boomers,1,1,0,0,1
Millennials,1,3,0,0,1
Millennials,0,1,0,0,1
Generation X,0,2,0,0,1
Baby boomers,0,2,0,0,1
Millennials,0,1,0,0,1
Millennials,0,3,0,0,1
Millennials,1,1,0,1,1
Generation X,0,3,0,0,0
Generation X,0,2,0,0,0
Baby boomers,0,1,0,0,0
Millennials,1,3,0,0,0
Millennials,0,3,1,1,1
Generation X,0,3,0,0,1
Generation X,0,3,0,0,0
Millennials,0,1,0,0,0
Generation X,0,2,0,0,0
Generation Z,0,1,0,0,0
Millennials,0,1,0,0,0
Millennials,0,2,0,0,0
Millennials,0,3,0,0,0
Generation X,0,2,0,0,0
Millennials,1,2,1,1,1
Millennials,0,2,0,0,0
Generation X,0,1,0,0,1
Baby boomers,0,1,0,0,1
Baby boomers,0,3,0,0,1
Generation X,0,2,0,0,0
Generation X,0,3,0,0,1
Generation X,0,3,1,0,1
Baby boomers,0,1,0,0,1
Generation X,0,3,0,0,0
Generation X,0,1,0,0,0
Baby boomers,0,1,0,0,1
Millennials,0,2,0,0,1
Baby boomers,0,2,0,0,0
Millennials,0,3,0,0,0
Baby boomers,0,1,0,0,0
Generation X,0,2,0,0,0
Millennials,0,1,0,0,1
Generation X,0,3,0,0,1
Millennials,0,3,0,0,1
Millennials,0,2,0,0,0
Millennials,0,2,0,0,0
Generation X,0,2,0,0,1
Generation X,0,2,0,0,0
Generation X,0,1,1,1,1
Baby boomers,0,3,0,0,0
Baby boomers,1,3,0,0,1
Generation X,0,3,0,0,1
Generation X,0,2,0,0,0
Generation X,0,2,0,0,0
Generation X,0,3,1,0,1
Generation X,0,3,0,0,1
Generation X,0,2,0,0,0
Generation X,0,2,0,0,0
Generation X,0,3,1,0,0
Generation X,0,1,0,0,1
Millennials,0,1,0,0,0
Millennials,0,1,1,0,0
Millennials,0,2,0,0,0
Generation X,0,3,0,0,0
Baby boomers,0,1,0,0,1
Generation X,0,3,0,0,1
Millennials,0,1,0,0,0
Millennials,0,1,0,0,1
Generation X,0,3,0,0,1
Millennials,0,1,0,0,1
Millennials,0,1,0,0,1
Baby boomers,0,1,1,0,0
Generation X,0,1,0,0,1
Baby boomers,0,3,0,0,1
Millennials,0,1,1,0,0
Millennials,0,2,0,0,1
Generation X,0,2,0,0,1
Generation X,0,1,0,0,1
Generation X,0,2,0,0,1
Generation X,0,1,0,0,0
Baby boomers,0,2,0,0,0
Baby boomers,0,2,0,0,1
Generation X,0,1,1,0,1
Millennials,0,3,0,0,1
Generation X,0,3,0,0,0
Millennials,0,3,0,0,1
Generation X,0,3,0,0,0
Generation X,0,2,0,0,1
Generation X,0,3,0,0,1
Baby boomers,0,1,0,0,1
Millennials,0,1,0,0,0
Generation X,0,2,0,0,0
Generation X,1,2,0,0,1
Generation X,1,3,0,0,0
Generation X,0,1,0,0,1
Generation X,0,1,0,0,0
Generation X,0,1,0,0,0
Baby boomers,0,3,0,0,0
Generation X,0,1,1,1,1
Millennials,0,2,1,1,1
Millennials,0,1,0,0,0
Generation X,1,2,0,0,1
Generation X,0,2,0,0,1
Generation X,0,2,0,0,0
Generation X,0,1,0,0,1
Generation Z,0,1,0,0,0
Generation X,0,3,0,0,1
Generation X,0,3,1,0,0
Millennials,0,2,0,0,1
Baby boomers,0,2,0,0,0
Generation X,0,1,0,0,1
Millennials,0,1,0,0,1
Generation X,0,1,0,0,1
Millennials,0,2,0,0,1
Millennials,0,1,1,1,1
Millennials,0,2,0,0,0
Generation Z,1,3,1,1,1
Generation X,0,3,0,1,1
Millennials,0,1,0,0,0
Generation Z,0,1,0,0,1
Generation X,0,1,0,0,1
Generation X,0,1,0,0,1
Millennials,0,3,0,0,0
Generation X,0,2,0,0,1
Generation X,0,1,0,0,1
Baby boomers,1,3,0,0,0
Baby boomers,0,1,0,0,1
Generation X,0,1,0,0,1
Millennials,0,2,0,0,1
Millennials,0,1,0,0,1
Generation X,0,1,0,0,1
Millennials,0,2,0,0,1
Baby boomers,0,3,0,0,1
Generation X,1,1,0,1,1
Generation X,1,3,0,0,0
Generation X,0,1,0,0,1
Baby boomers,0,2,0,0,1
Generation Z,0,3,1,0,0
Millennials,0,1,0,0,1
Generation X,1,3,0,0,1
Generation X,1,1,0,0,0
Millennials,1,3,0,0,1
Baby boomers,1,2,0,1,1
Millennials,0,3,0,0,0
Millennials,0,3,0,0,1
Generation X,0,2,0,0,1
Millennials,0,2,0,0,0
Generation X,0,3,0,0,1
Millennials,0,1,1,0,1
Generation X,0,3,0,0,1
Generation X,0,2,0,0,0
Baby boomers,0,2,0,0,0
Millennials,0,1,0,0,1
Millennials,0,2,0,0,0
Millennials,0,1,0,0,0
Generation X,0,2,1,0,1
Generation X,0,1,0,0,1
Baby boomers,0,1,0,0,1
Millennials,0,3,0,0,1
Millennials,0,3,0,0,0
Baby boomers,1,3,1,1,1
Baby boomers,0,3,0,0,1
Baby boomers,0,3,0,0,0
Baby boomers,0,1,1,1,1
Generation X,0,2,0,0,0
Generation X,0,1,0,0,1
Generation X,0,2,0,0,0
Millennials,0,1,0,0,0
Generation Z,1,2,0,0,0
Generation X,0,1,0,0,1
Millennials,0,1,0,0,0
Millennials,0,1,1,1,0
Millennials,0,3,0,0,0
Millennials,0,1,1,0,1
Millennials,0,2,1,0,1
Generation X,0,1,0,0,1
Generation Z,1,3,0,1,1
Generation X,0,1,0,1,1
Generation X,0,1,0,0,1
Baby boomers,0,1,0,0,0
Generation X,0,2,0,0,0
Baby boomers,0,2,0,0,0
Millennials,0,2,0,0,1
Millennials,0,1,0,0,1
Baby boomers,0,2,0,0,1
Millennials,1,1,0,0,0
Millennials,0,3,0,0,1
Generation X,0,1,0,0,0
Millennials,1,1,1,1,1
Millennials,0,3,0,0,0
Millennials,0,1,0,0,1
Baby boomers,0,1,0,0,0
Generation X,0,2,0,0,0
Millennials,0,2,0,0,0
Millennials,0,2,0,0,1
Baby boomers,0,3,1,0,0
Generation Z,0,1,0,0,0
Generation X,0,2,0,0,0
Millennials,0,1,0,0,1
Millennials,0,2,1,1,1
Generation X,0,2,0,0,1
Millennials,0,3,0,0,0
Baby boomers,0,2,0,0,1
Millennials,0,2,0,0,0
Millennials,0,1,0,0,1
Millennials,0,1,0,1,1
Millennials,0,1,0,0,0
Millennials,0,1,0,0,1
Millennials,1,3,0,0,1
Millennials,0,2,0,0,1
Millennials,0,3,0,0,1
Millennials,0,3,0,0,1
Millennials,0,1,0,0,1
Baby boomers,0,3,1,0,0
Millennials,0,1,0,0,1
Generation X,0,2,0,0,0
Generation X,0,3,0,0,1
Generation X,0,1,0,0,0
Millennials,0,3,0,0,0
Generation X,0,1,0,0,0
Generation X,0,1,1,1,1
Generation X,0,2,0,0,1
Generation X,0,1,0,0,0
Generation X,0,2,0,0,0
Generation Z,0,1,0,0,0
Generation X,0,2,0,0,0
Baby boomers,0,2,0,0,1
Millennials,0,3,0,0,1
Generation X,0,1,0,0,1
Baby boomers,0,3,0,0,0
Generation X,0,1,0,0,0
Millennials,0,1,0,0,1
Baby boomers,0,1,0,0,0
Generation X,0,3,1,0,0
Millennials,0,3,0,0,0
Baby boomers,0,3,0,0,1
Generation X,0,2,0,0,1
Millennials,0,2,0,0,1
Baby boomers,1,2,0,1,1
Generation X,0,3,0,0,1
Millennials,0,1,0,0,0
Generation Z,0,2,0,0,1
Millennials,0,2,0,0,0
Millennials,0,2,0,0,0
Millennials,1,1,1,1,1
Baby boomers,0,1,0,0,0
Generation X,0,1,0,0,0
Generation X,0,1,0,0,1
Baby boomers,1,1,0,0,1
Millennials,0,3,0,0,0
Baby boomers,0,1,0,0,1
Baby boomers,0,2,0,0,1
Generation X,1,3,0,1,1
Baby boomers,0,2,1,0,0
Millennials,0,3,0,0,0
Generation Z,1,3,0,0,1
Millennials,0,1,0,0,1
Millennials,0,3,0,0,0
Generation X,0,1,1,0,1
Generation X,0,1,0,0,1
Millennials,0,3,0,0,1
Millennials,0,1,0,0,1
Generation X,0,3,0,0,1
Baby boomers,0,2,0,0,0
Millennials,0,2,0,0,1
Generation X,0,1,0,0,0
Baby boomers,0,2,0,0,1
Baby boomers,0,1,0,0,1
Millennials,1,3,0,0,0
Generation X,0,3,0,0,0
Baby boomers,0,3,0,0,0
Generation X,0,3,0,0,0
Millennials,0,1,0,0,0
Millennials,0,1,0,0,1
Generation X,0,1,0,0,1
Baby boomers,0,3,0,0,1
Generation X,0,2,0,0,1
Baby boomers,0,3,0,0,1
Millennials,0,3,0,0,0
Generation X,0,1,0,0,1
Baby boomers,0,1,0,0,1
Baby boomers,0,3,0,0,1
Millennials,0,2,0,0,0
Generation X,0,2,0,0,1
Generation X,0,2,1,1,1
Millennials,0,1,0,1,1
Generation X,0,2,0,0,1
Generation X,0,3,0,0,0
Millennials,0,1,0,0,0
Generation X,0,2,0,0,1
Generation X,0,3,0,0,1
Millennials,0,1,0,0,1
Millennials,0,1,0,0,0
Baby boomers,0,1,0,0,1
Millennials,0,2,0,0,0
Millennials,0,1,0,1,1
Generation X,0,3,0,0,0
Baby boomers,0,1,0,0,1
Millennials,0,3,1,1,1
Generation X,1,2,0,0,1
Generation X,0,1,0,0,0
Generation X,0,2,0,0,1
Millennials,0,1,0,0,1
Baby boomers,0,1,0,0,0
Generation X,0,3,0,0,1
Generation X,0,1,0,0,0
Millennials,0,2,0,1,1
Millennials,0,3,0,0,0
Millennials,0,1,0,0,1
Generation X,1,3,0,0,1
Generation Z,0,3,0,0,1
Millennials,0,3,0,0,0
Generation X,0,1,0,0,1
Millennials,0,1,0,0,1
Millennials,0,2,0,0,0
Generation X,0,3,0,0,0
Millennials,0,2,0,0,1
Millennials,0,1,0,0,0
Millennials,0,2,0,0,1
Millennials,0,1,0,0,1
Generation X,0,3,0,0,1
Generation X,0,2,0,0,1
Millennials,1,3,0,0,1
Millennials,0,1,0,0,0
Generation X,0,1,0,0,0
Generation X,0,1,1,0,1
Generation X,0,1,0,0,0
Generation X,0,2,0,0,1
Generation X,0,2,0,0,0
Baby boomers,0,3,1,1,1
Generation X,0,1,0,0,1
Millennials,0,3,0,0,0
Millennials,0,2,1,0,1
Millennials,0,3,0,0,1
Generation Z,0,3,0,0,0
Millennials,0,1,0,0,1
Generation X,0,1,0,0,1
Baby boomers,0,3,0,0,0
Millennials,0,1,0,0,1
Generation X,0,1,0,0,1
Generation X,0,1,0,0,1
Generation Z,0,3,0,0,1
Millennials,0,3,0,0,0
Generation X,0,3,0,0,1
Generation X,0,2,0,0,1
Generation X,0,2,0,0,1
Generation X,0,1,0,0,0
Millennials,0,2,0,0,0
Generation X,0,2,0,0,0
Millennials,0,1,0,0,0
Millennials,0,2,0,0,1
Generation X,0,1,0,0,1
Millennials,0,1,0,0,1
Millennials,0,2,1,0,1
Millennials,0,3,0,0,0
Generation X,0,1,0,0,0
Millennials,0,3,0,0,0
Millennials,0,2,0,0,1
Millennials,0,1,0,0,0
Generation X,1,2,0,0,1
Baby boomers,0,2,0,0,1
Millennials,0,1,0,0,1
Millennials,0,3,0,0,0
Baby boomers,0,2,0,0,0
Baby boomers,0,3,0,0,1
Generation X,0,2,0,0,0
Generation X,0,1,0,0,1
Generation X,0,1,0,0,1
Baby boomers,0,1,0,0,1
Generation X,0,1,1,1,1
Baby boomers,0,3,0,0,1
Millennials,0,1,0,0,1
Baby boomers,0,3,0,0,1
Generation X,0,1,1,0,1
Generation X,0,2,0,0,1
Generation X,0,1,0,0,0
Generation X,0,1,0,0,1
Baby boomers,0,2,0,0,1
Millennials,0,2,0,0,1
Generation X,0,2,0,0,0
Generation X,0,2,0,0,1
Millennials,0,1,1,0,1
Generation X,0,3,0,0,0
Generation X,0,1,1,0,1
Millennials,0,2,0,0,1
Generation X,0,1,0,0,1
Generation X,0,2,0,0,1
Generation X,0,2,0,1,1
Baby boomers,0,3,0,0,0
Baby boomers,0,1,0,0,0
Millennials,0,1,1,0,1
Generation X,0,1,0,0,0
Millennials,1,3,0,0,0
Generation Z,0,1,0,0,1
Generation X,0,2,1,0,1
Generation Z,0,3,1,0,0
Generation X,0,2,1,0,0
Millennials,0,3,0,0,1
Generation X,0,3,0,0,0
Millennials,0,3,0,0,1
Generation X,0,3,0,1,1
Millennials,0,1,0,0,0
Generation X,1,3,0,0,0
Generation X,0,3,0,0,1
Baby boomers,0,3,0,0,1
Generation X,0,2,0,0,1
Generation X,0,1,0,0,1
Generation X,0,1,0,0,1
Millennials,0,3,0,0,0
Generation Z,0,3,0,0,1
Generation X,1,1,0,0,1
Generation Z,0,2,0,0,0
Millennials,1,3,0,1,1
Generation X,0,3,0,0,1
Millennials,0,3,0,0,0
Millennials,0,3,0,0,0
Millennials,0,3,0,0,1
Generation X,1,2,0,0,0
Generation X,0,2,0,0,1
Generation X,0,3,0,0,0
Generation X,1,2,0,0,0
Generation X,0,3,0,0,1
Millennials,0,2,0,0,1
Millennials,0,1,0,0,0
Millennials,0,2,0,0,0
Generation X,0,1,0,0,1
Generation X,0,1,0,0,1
Generation X,0,3,0,0,0
Millennials,0,3,0,0,1
Generation X,0,1,0,0,1
Millennials,0,1,0,0,1
Millennials,1,2,0,0,0
Generation X,0,2,0,0,0
Generation X,0,1,0,0,1
Generation X,0,2,0,0,1
Generation X,0,3,0,0,1
Generation X,0,3,0,0,0
Millennials,0,2,0,0,1
Millennials,0,2,0,0,1
Millennials,0,2,0,0,1
Baby boomers,0,1,0,0,1
Generation X,0,3,0,0,0
Millennials,0,3,0,0,1
Baby boomers,0,3,0,0,1
Millennials,0,3,0,0,0
Millennials,0,1,0,0,1
Baby boomers,0,1,0,0,0
Generation X,0,1,0,0,1
Generation X,0,1,1,1,1
Generation X,0,2,0,0,1
Generation X,0,3,0,0,0
Millennials,0,1,0,0,0
Generation X,1,2,0,0,0
Generation X,0,3,0,0,1
Millennials,1,2,0,0,1
Millennials,1,2,0,0,0
Generation X,0,1,0,1,1
Generation X,0,2,0,0,0
Millennials,1,2,0,1,1
Generation X,0,1,0,0,0
Millennials,0,1,0,0,1
Millennials,0,3,0,0,1
Millennials,0,1,1,1,1
Millennials,0,1,0,0,1
Generation X,0,3,0,0,1
Millennials,0,2,0,0,1
Generation X,0,3,0,0,1
Millennials,0,3,0,0,1
Millennials,0,1,0,0,1
Baby boomers,1,2,0,0,1
Millennials,0,1,0,0,1
